,code,name,latitude_deg,longitude_deg
0,AAL,Aalborg Airport,57.092759,9.849243
1,AAR,Aarhus Airport,56.303331,10.618286
2,ABD,Abadan Airport,30.367887,48.230075
3,ABF,Abaiang Airport,1.79861,173.041
4,YXX,Abbotsford International Airport,49.025299,-122.361
5,AEA,Abemama Airport,0.490759,173.830287
6,ABR,Aberdeen Regional Airport,45.44910049,-98.42179871
7,ABI,Abilene Regional Airport,32.41130066,-99.68190002
8,AUH,Abu Dhabi International Airport,24.443764,54.651718
9,AZI,Al Bateen Executive Airport,24.428301,54.458099
10,ABS,Abu Simbel Airport,22.367657,31.609962
11,RSS,Damazin Airport,11.7859,34.3367
12,AIP,Adampur Airport,31.4338,75.758797
13,ADD,Addis Ababa Bole International Airport,8.97789,38.799301
14,ADL,Adelaide Airport,22.17953672,-78.80965233
15,ADE,Aden International Airport,12.8295,45.028801
16,AGU,Aguascalientes Airport,32.27852,-115.115764
17,AHE,Ahe Airport,-14.42809963,-146.2570038
18,WRY,Westray Airport,59.35029984,-2.950000048
19,AIT,Aitutaki Airport,-18.8309,-159.764008
20,AXT,Akita Airport,39.615601,140.218994
21,AKD,Akola Airport,20.698931,77.056883
22,SCO,Aktau Airport,43.860093,51.09086
23,AKX,Aktobe Airport,50.2458,57.206699
24,AKV,Akulivik Airport,60.8185997,-78.14859772
25,AKR,Akure Airport,7.246739864,5.301010132
26,AEY,Akureyri Airport,65.66000366,-18.0727005
27,KQA,Akutan Airport,54.14459,-165.604332
28,AAN,Al Ain International Airport,24.26169968,55.60919952
29,ABY,Southwest Georgia Regional Airport,31.532946,-84.196215
30,ALB,Albany International Airport,42.74829865,-73.80169678
31,ALH,Albany Airport,-34.94329834,117.8089981
32,ALH,Albany Airport,42.717368,-89.423935
33,ABX,Albury Airport,-36.066758,146.959148
34,ADH,Aldan Airport,58.60279846,125.4089966
35,ACI,Alderney Airport,49.706104,-2.21472
36,FJR,Fujairah International Airport,25.11219978,56.32400131
37,ALI,Alice International Airport,27.7409,-98.026901
38,ASP,Alice Springs Airport,-23.806588,133.903427
39,AIA,Alliance Municipal Airport,42.05319977,-102.8040009
40,YTF,Alma Airport,48.50889969,-71.64189911
41,YTF,Alma Airport,26.732986,-81.571042
42,ALA,Almaty International Airport,43.354267,77.042828
43,IXV,Along Airport,28.1753006,94.80200195
44,APN,Alpena County Regional Airport,45.0780983,-83.56030273
45,ALF,Alta Airport,69.97609711,23.37170029
46,ATM,Altamira Airport,-8.642135,-55.041072
47,ATM,Altamira Airport,12.135983,-85.716461
48,ATM,Altamira Airport,4.758611,-71.638611
49,AMA,Rick Husband Amarillo International Airport,35.219398,-101.706001
50,MZH,Amasya Merzifon Airport,40.829399,35.521999
51,WAM,Ambatondrazaka Airport,-17.795378,48.442583
52,ABL,Ambler Airport,67.107043,-157.854308
53,ASV,Amboseli Airport,-2.645050049,37.25310135
54,AAA,Anaa Airport,-17.3526,-145.509995
55,AAQ,Anapa Vityazevo Airport,45.002102,37.347301
56,ANC,Ted Stevens Anchorage International Airport,61.1744,-149.996002
57,ADO,Andamooka Airport,-30.438299,137.136993
58,AZN,Andizhan Airport,40.727699,72.293999
59,SAQ,San Andros Airport,25.05380058,-78.0490036
60,VLY,Anglesey Airport,53.24810028,-4.535339832
61,ANI,Aniak Airport,61.58160019,-159.5429993
62,AKA,Ankang Fuqiang Airport,32.75696,108.87338
63,AAE,Annaba Rabah Bitat Airport,36.826781,7.81334
64,AVA,Anshun Huangguoshu Airport,26.260556,105.873333
65,HTY,Hatay Airport,36.362778,36.282223
66,ATJ,Antsirabe Airport,-14.9994,50.320202
67,ATJ,Antsirabe Airport,-19.83922148,47.06371307
68,ANV,Anvik Airport,62.646702,-160.190994
69,AOJ,Aomori Airport,40.73469925,140.6909943
70,APB,Apolo Airport,-14.73560047,-68.41190338
71,AQJ,Aqaba King Hussein International Airport,29.61160088,35.01810074
72,ARW,Arad Airport,31.22916985,35.18903732
73,AMH,Arba Minch Airport,6.03939,37.5905
74,ARC,Arctic Village Airport,68.1147,-145.578995
75,ADU,Ardabil Airport,38.32569885,48.42440033
76,RLT,Arlit Airport,18.79039955,7.365950108
77,ARM,Armidale Airport,-30.52809906,151.6170044
78,ATC,Arthur's Town Airport,24.6294,-75.673797
79,RUA,Arua Airport,3.049152,30.911714
80,ARK,Arusha Airport,-3.367789984,36.63330078
81,AXR,Arutua Airport,-15.2482996,-146.6170044
82,YEK,Arviat Airport,61.09420013,-94.07080078
83,AJR,Arvidsjaur Airport,65.59030151,19.28190041
84,YIE,Arxan Yi'ershi Airport,47.3106,119.9117
85,ABB,Asaba International Airport,6.204167,6.665278
86,AKJ,Asahikawa Airport,43.670799,142.447006
87,ASB,Ashgabat International Airport,37.986801,58.361
88,ASM,Asmara International Airport,15.29189968,38.91070175
89,ASO,Asosa Airport,10.01850033,34.5862999
90,ASA,Assab International Airport,13.07180023,42.64500046
91,AST,Astoria Regional Airport,46.15800095,-123.8789978
92,OVD,Asturias Airport,43.563599,-6.03462
93,AHN,Athens Ben Epps Airport,33.94860077,-83.32630157
94,AKB,Atka Airport,52.220299,-174.205994
95,ACY,Atlantic City International Airport,39.45759964,-74.57720184
96,AKL,Auckland International Airport,-37.01199,174.786331
97,AUG,Augusta State Airport,44.3205986,-69.79730225
98,AUR,Aurillac Airport,44.89139938,2.421940088
99,AXU,Axum Airport,14.1468,38.7728
100,AYQ,Ayers Rock Connellan Airport,-25.185913,130.97703
101,BFJ,Bijie Feixiong Airport,27.267066,105.472097
102,BJZ,Badajoz Airport,38.8913,-6.82133
103,BFX,Bafoussam Airport,5.536920071,10.35459995
104,IXB,Bagdogra Airport,26.68120003,88.32859802
105,BHV,Bahawalpur Airport,29.34810066,71.71800232
106,BAH,Bahrain International Airport,26.267295,50.63764
107,BJU,Bajura Airport,29.50200081,81.66899872
108,YBK,Baker Lake Airport,64.29889679,-96.07779694
109,TRE,Tiree Airport,56.49919891,-6.869170189
110,MQJ,Moma Airport,66.450861,143.261551
111,MQJ,Moma Airport,-7.235189,22.608833
112,BXH,Balkhash Airport,46.8932991,75.00499725
113,RGH,Balurghat Airport,25.26169968,88.79560089
114,BXR,Bam Airport,29.0842,58.450001
115,ABM,Northern Peninsula Airport,-10.946194,142.455081
116,BPC,Bamenda Airport,6.039239883,10.1225996
117,BIN,Bamyan Airport,34.808916,67.816629
118,BMV,Buon Ma Thuot Airport,12.66829968,108.1200027
119,BGR,Bangor International Airport,44.8074,-68.828102
120,BNX,Banja Luka International Airport,44.94139862,17.29750061
121,BWU,Sydney Bankstown Airport,-33.923618,150.990792
122,BAV,Baotou Donghe Airport,40.560001,109.997002
123,BHB,Hancock County-Bar Harbor Airport,44.45000076,-68.3615036
124,BCI,Barcaldine Airport,-23.566268,145.302086
125,BAZ,Barcelos Airport,-0.981191,-62.918603
126,BDU,Bardufoss Airport,69.05580139,18.54039955
127,BNS,Barinas Airport,8.615,-70.21416667
128,BZL,Barisal Airport,22.8010006,90.30120087
129,BAX,Barnaul Airport,53.36380005,83.53849792
130,BRR,Barra Airport,57.0228,-7.44306
131,BRR,Barra Airport,-11.08080006,-43.14749908
132,BSU,Basankusu Airport,1.22472,19.7889
133,BQJ,Batagay Airport,67.64800262,134.6950073
134,BRT,Bathurst Island Airport,-11.764966,130.615774
135,BAL,Batman Airport,37.92900085,41.11660004
136,BTR,Baton Rouge Metropolitan Airport,30.533199,-91.149597
137,BCU,Bauchi Airport,10.294402,9.816672
138,BYN,Bayankhongor Airport,46.16329956,100.7040024
139,RLK,Bayannur Tianjitai Airport,40.926,107.7428
140,BPT,Jack Brooks Regional Airport,29.9508,-94.020699
141,BEU,Bedourie Airport,-24.34609985,139.4600067
142,MFK,Matsu Beigan Airport,26.224199,120.002998
143,BHY,Beihai Fucheng Airport,21.5394,109.293999
144,PEK,Beijing Capital International Airport,40.08010101,116.5849991
145,PKX,Beijing Daxing International Airport,39.509945,116.41092
146,BEW,Beira Airport,-19.79640007,34.9076004
147,BEY,Beirut Rafic Hariri International Airport,33.82089996,35.48839951
148,BFS,Belfast International Airport,54.65750122,-6.215829849
149,EGO,Belgorod International Airport,50.64379883,36.59009933
150,BEG,Belgrade Nikola Tesla Airport,44.818401,20.309099
151,QBC,Bella Coola Airport,52.387501,-126.596001
152,BLI,Bellingham International Airport,48.7928009,-122.538002
153,BJI,Bemidji Regional Airport,47.50939941,-94.93370056
154,GMD,Ben Slimane Airport,33.655399,-7.22145
155,BEB,Benbecula Airport,57.48109818,-7.362780094
156,BXG,Bendigo Airport,40.55849838,-76.55960083
157,BXG,Bendigo Airport,-36.739399,144.330002
158,BNC,Beni Airport,0.575,29.4739
159,BBO,Berbera Airport,10.385035,44.936723
160,BER,Berlin Brandenburg Airport,52.362247,13.500672
161,BTA,Bertoua Airport,4.54861021,13.72609997
162,BEZ,Beru Airport,-1.354719996,176.0070038
163,BPY,Besalampy Airport,-16.74453,44.482484
164,BET,Bethel Airport,60.77980042,-161.8379974
165,BTT,Bettles Airport,66.91390228,-151.529007
166,BHR,Bharatpur Airport,27.678101,84.429398
167,BHU,Bhavnagar Airport,21.75219917,72.18520355
168,BHP,Bhojpur Airport,27.1473999,87.05079651
169,ELM,Elmira Corning Regional Airport,42.15990067,-76.89160156
170,PAB,Bilaspur Airport,21.9884,82.111
171,BIO,Bilbao Airport,43.301102,-2.91061
172,BIU,Bildudalur Airport,65.64129639,-23.5461998
173,BIL,Billings Logan International Airport,45.807701,-108.542999
174,BLL,Billund Airport,55.74029922,9.151780128
175,BTU,Bintulu Airport,3.123850107,113.0199966
176,BIR,Biratnagar Airport,26.48150063,87.26399994
177,BVI,Birdsville Airport,-25.89749908,139.3480072
178,BHM,Birmingham-Shuttlesworth International Airport,33.562901,-86.753502
179,BHH,Bisha Airport,19.9844,42.620899
180,BKQ,Blackall Airport,-24.431678,145.429716
181,BEF,Bluefields Airport,11.991,-83.774101
182,BYH,Arkansas International Airport,35.96429825,-89.94400024
183,BCT,Boca Raton Airport,26.37849998,-80.10769653
184,ODO,Bodaybo Airport,57.86610031,114.2429962
185,BNB,Boende Airport,-0.286652,20.883551
186,BJB,Bojnord Airport,37.49300003,57.30820084
187,BPL,Bole Alashankou Airport,44.895461,82.30007
188,BLQ,Bologna Guglielmo Marconi Airport,44.5354,11.2887
189,BOA,Boma Airport,-5.854,13.064
190,BOA,Boma Airport,30.220889,-98.776967
191,YVB,Bonaventure Airport,48.071098,-65.460297
192,BYO,Bonito Airport,-21.2473,-56.452399
193,BXT,Bontang Airport,0.119691,117.474998
194,BMW,Bordj Badji Mokhtar Airport,21.3778,0.92698
