name,한글공항명,code,공항코드2(ICAO),공항운영상태구분
Aalborg Airport,올보르 공항,AAL,EKYT,기존공항
Alesund Airport,바이그라 공항,AES,ENAL,기존공항
Aarhus Airport,터스럽 공항,AAR,EKAH,기존공항
Abadan Airport,아바단 공항,ABD,OIAA,기존공항
Abaiang Airport,아바이앙 공항,ABF,NGAB,기존공항
Abakan Airport,아바칸 공항,ABA,UNAA,기존공항
Abbotsford International Airport,애보트포드 국제공항,YXX,CYXX,기존공항
Abecher Airport,아베셰 공항,AEH,FTTC,기존공항
Abemama Airport,아베마마 공항,AEA,NGTB,기존공항
Aberdeen Regional Airport,애버딘 지역공항,ABR,KABR,기존공항
Aberdeen International Airport,다이스 공항 ,ABZ,EGPD,기존공항
Abha Airport,아바 지역공항,AHB,OEAB,기존공항
Abidjan Felix Houphouet Boigny Airport,펠릭스 우후에 보아니 공항,ABJ,DIAP,기존공항
Abilene Regional Airport,애빌린 시공항,ABI,KABI,기존공항
Abingdon Virginia Highlands Airport,애빙던 버지니아 하이랜드 공항,VJI,KVJI,기존공항
Abu Dhabi International Airport,아부다비 국제공항,AUH,OMAA,기존공항
Al Bateen Executive Airport,바틴 공항,AZI,OMAD,기존공항
Delma Island Airport,달마 공항,ZDY,OMDL,기존공항
Abu Simbel Airport,아부심벨 공항,ABS,HEBL,기존공항
Abuja Nnamdi Azikiwe International Airport,아부자 국제공항,ABV,DNAA,기존공항
Abu Musa Airport,아부 무사 공항,AEU,OIBA,기존공항
Acapulco Alvarez International Airport,알바레즈 국제공항,ACA,MMAA,기존공항
Accra Kotoka International Airport,코타카 공항,ACC,DGAA,기존공항
Damazin Airport,다마진 공항,RSS,HSDZ,기존공항
Adak Island Naval Airport,아닥 공항,ADK,PADK,기존공항
Adampur Airport,아담푸르 공항,AIP,VIAX,기존공항
Adana Sakirpasa Airport,아다나 공항,ADA,LTAF,기존공항
Addis Ababa Bole International Airport,보울 공항,ADD,HAAB,기존공항
Dallas Addison Airport,애디슨 공항,ADS,KADS,기존공항
Adelaide Airport,애들레이드 국제공항,ADL,YPAD,기존공항
Aden International Airport,아덴 국제공항,ADE,OYAA,기존공항
Adiyaman Airport,아디야만 공항,ADF,LTCP,기존공항
